method,case_id,expected_classification,actual_classification,api_exercised,zig_exe,zig_version,zig_cc_version,compiler_target,c_language_mode,compile_flags,link_flags,compile_exit_code,python_exe,python_version,platform,stdc_version,flt_radix,dbl_mant_dig,dbl_max_exp,sizeof_double,dbl_max,dbl_min,locale_init,locale_active,locale_decimal_point,rounding_mode,token,token_length,token_hash,conversion_occurred,parsed_decimal,parsed_hex,raw_bytes,finite,isnan,isinf,signbit,endptr_offset,full_consumption,suffix,errno_before,errno_after,erange,comparison_target,exact_equality,restricted_parser_status,restricted_parser_hundredths,domain_size,success_count,rejection_count,failure_count,max_scaled_error,threshold,naive_label,strict_valid,strict_label,policy_differs,elapsed_s,sanitization_applied,skip_reason,failure_reason,conclusion
parse_value,leading_space_sign_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST, \t-12.5,,54d03c26de27740f,True,-12.5,,,,,,1,7,True,,0,,,,,,,,,,,,,,,,,0.268754,True,,,
inspect_status,leading_space_sign_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST, \t-12.5,,54d03c26de27740f,True,-12.5,,,,,,1,7,True,,0,,,,,,,,,,,,,,,,,0.268776,True,,,
compare_contract,leading_space_sign_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST, \t-12.5,,54d03c26de27740f,True,-12.5,,,,,,1,7,True,,0,,,,,,,,,,,,,,,,,0.268799,True,,,
ml_context_observation,leading_space_sign_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST, \t-12.5,,54d03c26de27740f,True,-12.5,,,,,,1,7,True,,0,,,,,,,,,,,,,,,,,0.268821,True,,,
inspect_api,trailing_junk_endptr_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,3.25xyz,,adc0ce2f4477db69,True,3.25,0x1.ap+1,,True,,,,4,False,xyz,0,,,,,,,,,,,,,,,,,0.268887,True,,,
parse_value,trailing_junk_endptr_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,3.25xyz,,adc0ce2f4477db69,True,3.25,0x1.ap+1,,True,,,,4,False,xyz,0,,,,,,,,,,,,,,,,,0.26891,True,,,
inspect_status,trailing_junk_endptr_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,3.25xyz,,adc0ce2f4477db69,True,3.25,0x1.ap+1,,True,,,,4,False,xyz,0,,,,,,,,,,,,,,,,,0.268933,True,,,
compare_contract,trailing_junk_endptr_marker,expected_error,expected_error,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,3.25xyz,,adc0ce2f4477db69,True,3.25,0x1.ap+1,,True,,,,4,False,xyz,0,,,,,,,,,,,,,,,,,0.268955,True,,,trailing junk rejected by strict policy
ml_context_observation,trailing_junk_endptr_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,3.25xyz,,adc0ce2f4477db69,True,3.25,0x1.ap+1,,True,,,,4,False,xyz,0,,,,,,,,,,,,,,,,,0.268978,True,,,
inspect_api,no_conversion_endptr_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,xyz,,3608bca1e44ea6c4,False,,,,,,,,0,False,xyz,0,,,,,,,,,,,,,,,,,0.269054,True,,,
parse_value,no_conversion_endptr_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,xyz,,3608bca1e44ea6c4,False,,,,,,,,0,False,xyz,0,,,,,,,,,,,,,,,,,0.269078,True,,,
inspect_status,no_conversion_endptr_marker,expected_error,expected_error,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,xyz,,3608bca1e44ea6c4,False,,,,,,,,0,False,xyz,0,,,,,,,,,,,,,,,,,0.269102,True,,,no conversion
compare_contract,no_conversion_endptr_marker,expected_error,expected_error,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,xyz,,3608bca1e44ea6c4,False,,,,,,,,0,False,xyz,0,,,,,,,,,,,,,,,,,0.269125,True,,,no conversion
ml_context_observation,no_conversion_endptr_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,xyz,,3608bca1e44ea6c4,False,,,,,,,,0,False,xyz,0,,,,,,,,,,,,,,,,,0.269147,True,,,
inspect_api,stale_errno_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1.25,,004a9e0878ff83e6,True,,,,,,,,,True,,0,0,,,,,,,,,,,,,,,,0.269253,True,,,
parse_value,stale_errno_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1.25,,004a9e0878ff83e6,True,,,,,,,,,True,,0,0,,,,,,,,,,,,,,,,0.269279,True,,,
inspect_status,stale_errno_marker,local_observation,local_observation,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1.25,,004a9e0878ff83e6,True,,,,,,,,,True,,0,0,,,,,,,,,,,,,,,,0.269302,True,,,stale errno behavior local
compare_contract,stale_errno_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1.25,,004a9e0878ff83e6,True,,,,,,,,,True,,0,0,,,,,,,,,,,,,,,,0.269325,True,,,
ml_context_observation,stale_errno_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1.25,,004a9e0878ff83e6,True,,,,,,,,,True,,0,0,,,,,,,,,,,,,,,,0.269347,True,,,
inspect_api,overflow_erange_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e5000,,29d3588b4b51b9f7,True,,,,False,,1,,6,True,,0,34,True,,,,,,,,,,,,,,,0.269427,True,,,
parse_value,overflow_erange_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e5000,,29d3588b4b51b9f7,True,,,,False,,1,,6,True,,0,34,True,,,,,,,,,,,,,,,0.26945,True,,,
inspect_status,overflow_erange_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e5000,,29d3588b4b51b9f7,True,,,,False,,1,,6,True,,0,34,True,,,,,,,,,,,,,,,0.269473,True,,,
compare_contract,overflow_erange_marker,expected_error,expected_error,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e5000,,29d3588b4b51b9f7,True,,,,False,,1,,6,True,,0,34,True,,,,,,,,,,,,,,,0.269496,True,,,strict finite policy rejects
ml_context_observation,overflow_erange_marker,not_applicable,not_applicable,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e5000,,29d3588b4b51b9f7,True,,,,False,,1,,6,True,,0,34,True,,,,,,,,,,,,,,,0.269518,True,,,
inspect_api,underflow_erange_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e-5000,,fa3b056af5651a61,True,,,,True,,,,7,True,,0,34,True,,,,,,,,,,,,,,,0.269584,True,,,
parse_value,underflow_erange_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e-5000,,fa3b056af5651a61,True,,,,True,,,,7,True,,0,34,True,,,,,,,,,,,,,,,0.269607,True,,,
inspect_status,underflow_erange_marker,pass,pass,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e-5000,,fa3b056af5651a61,True,,,,True,,,,7,True,,0,34,True,,,,,,,,,,,,,,,0.269625,True,,,
compare_contract,underflow_erange_marker,expected_error,expected_error,strtod,/portable-zig/.local/zig/zig,0.14.0,clang version 19.1.7 (https://github.com/ziglang/zig-bootstrap 1c3c59435891bc9caf8cd1d3783773369d191c5f),x86_64-unknown-linux-musl,c11,-std=c11 -O2 -Wall -Wextra -Wpedantic,-lm,0,/python-lab,3.12.3,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,201112,2,53,1024,8,,,C,C,.,FE_TONEAREST,1e-5000,,fa3b056af5651a61,True,,,,True,,,,7,True,,0,34,True,,,,,,,,,,,,,,,0.269644,True,,,strict finite policy rejects
